id,popularity,explicit,availability,track_number,release_date,num_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
37IdGNwCGKa4aUFjM34Jfu,32,True,79,14,2018-11-02,1,0.792,0.397,1.0,-10.402000000000001,1.0,0.0909,0.22699999999999998,0.00473,0.102,0.139,77.061,186747.0,4.0
5LYHK9JrPBe1JmCfHq9QUT,23,False,1,3,2015-12-30,2,0.635,0.836,11.0,-4.132,0.0,0.0282,0.00829,1.75e-05,0.0843,0.563,127.99700000000001,218307.0,4.0
1VIRe8eglPUT7aL5pKeoFI,28,False,79,3,1970-09-08,1,0.451,0.473,9.0,-8.613,1.0,0.138,0.604,0.0,0.151,0.66,176.215,133467.0,4.0
5fdncjcWibff0r1OCEMfdJ,0,False,76,3,2019-10-04,2,0.522,0.0129,2.0,-21.046999999999997,1.0,0.0521,0.934,0.812,0.109,0.153,99.26299999999999,236040.0,4.0
0iVVPWm4An3glF9QnCtM6e,44,False,79,12,2019-12-13,1,0.529,0.723,5.0,-8.171,0.0,0.0353,0.00109,2.78e-05,0.21899999999999997,0.708,79.98899999999999,229280.0,4.0
6AnoLbexRtDkHVQr0UkLeI,10,False,79,13,2017-04-14,2,0.782,0.253,8.0,-8.915,1.0,0.0813,0.81,0.0,0.235,0.517,113.734,189740.0,4.0
1skXWsNOqlMxx9d4T1B1SM,24,True,79,1,2014-11-24,1,0.337,0.8759999999999999,9.0,-6.068,1.0,0.292,0.435,0.0,0.799,0.34,98.56200000000001,206053.0,4.0
52JqyeyOW8hAOIC5YUU8IU,29,False,79,22,2020-01-31,1,0.7240000000000001,0.495,9.0,-5.776,1.0,0.0465,0.35100000000000003,0.0,0.331,0.127,80.021,213733.0,4.0
6wmmosJXR5I9e2t267XLjO,19,False,79,9,2001-11-05,1,0.284,0.7959999999999999,7.0,-9.346,0.0,0.0821,0.191,0.0,0.7140000000000001,0.321,84.205,368493.0,4.0
098knTKFo5jxmGem6vffDH,3,False,3,6,2014-06-13,2,0.423,0.9009999999999999,4.0,-5.008,0.0,0.0889,0.0008230000000000001,0.00685,0.0891,0.29,128.042,299280.0,4.0
7us3Bq98F6yPv1KTTvk3kN,25,False,77,10,1970-05-08,1,0.348,0.619,5.0,-10.822000000000001,0.0,0.14800000000000002,0.134,0.0020399999999999997,0.273,0.775,166.49599999999998,196733.0,4.0
3h6kSrAmXIkA0gnsdmI6V3,14,False,1,3,2019-12-06,1,0.594,0.867,9.0,-5.397,1.0,0.0269,0.0871,0.00202,0.335,0.452,122.044,227347.0,4.0
6EL8YOzVXsHvdb6QBaqONL,35,False,79,7,1994-11-08,2,0.24600000000000002,0.0785,6.0,-19.180999999999997,1.0,0.0327,0.9620000000000001,6.52e-06,0.153,0.125,110.291,212640.0,4.0
3Ls6T8l71lL471mLLZ4EZL,5,False,21,8,1998-10-23,1,0.479,0.7609999999999999,2.0,-6.007999999999999,1.0,0.0274,0.00657,0.0,0.23199999999999998,0.361,83.30799999999999,210307.0,3.0
7lhw5LRj9J3mRFoHvZolOt,26,False,78,4,2008-01-01,1,0.261,0.309,2.0,-8.999,1.0,0.0371,0.718,0.0,0.10800000000000001,0.5820000000000001,182.12400000000002,177707.0,3.0
6h2Gn4MaZGjt4dGVSfmEjZ,22,False,73,27,2020-02-14,1,0.7979999999999999,0.625,4.0,-6.83,1.0,0.13,0.38299999999999995,3.35e-05,0.125,0.774,92.994,129333.0,4.0
47hAbEQCAfQn8PmlJr6jWx,0,True,79,11,2020-01-20,3,0.687,0.607,1.0,-8.979,1.0,0.14,0.667,0.0,0.303,0.838,142.123,161040.0,4.0
6pDpVf8jTomWlDVobHzR0P,3,False,1,10,2013-01-01,1,0.655,0.636,1.0,-7.811,1.0,0.0454,0.10800000000000001,0.23600000000000002,0.0846,0.184,160.01,444653.0,4.0
0mRHzC25cj7ENZC7JDSzA2,15,False,1,5,2016-08-10,2,0.569,0.797,5.0,-6.148,1.0,0.0415,0.0039,5.29e-06,0.391,0.252,126.0,207333.0,4.0
