id,popularity,explicit,availability,track_number,release_date,num_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5JDdzBawkk5UayooiFl5lM,46,False,79,12,2017-07-07,1,0.523,0.856,0.0,-5.624,1.0,0.245,0.22,0.0,0.206,0.489,99.936,162480.0,4.0
0w1nJ6CzBPxDr8aZDAOXhJ,33,False,79,6,2018-05-04,1,0.445,0.181,6.0,-19.512,1.0,0.135,0.933,4.17e-06,0.722,0.477,95.025,181680.0,3.0
5CGeQLzYjZdIxIbP6zNNVg,39,True,1,3,2020-02-07,1,0.604,0.179,2.0,-15.383,1.0,0.0339,0.835,0.0,0.162,0.391,124.982,220520.0,3.0
4Ph7kUFGSVYg4ampzqkiF4,14,False,79,11,2003-05-20,1,0.696,0.837,7.0,-4.327,1.0,0.0943,0.233,1.24e-05,0.0662,0.747,86.878,277200.0,4.0
6LqW3lcaz7LtvZ4TCoTGNm,17,False,11,18,2019-08-15,2,0.774,0.564,9.0,-9.017,0.0,0.218,0.0411,1.89e-06,0.367,0.385,143.019,202427.0,4.0
5JeLaG3CWWX5PmaLlOEmhz,1,False,76,12,1999-02-22,1,0.219,0.156,4.0,-17.54,0.0,0.0359,0.912,0.000985,0.187,0.0861,87.747,197600.0,3.0
4v4iJH8TUheqptXmGFIrwe,1,False,20,4,2008,1,0.501,0.913,9.0,-3.027,1.0,0.0655,0.0645,0.0,0.302,0.558,100.01,228000.0,4.0
2D2b0SZfs0aOTZjUUs9SLL,2,False,18,4,2019-12-06,1,0.682,0.712,7.0,-7.445,0.0,0.0392,0.315,0.0,0.295,0.84,115.105,212307.0,4.0
4zTEp2aad2ahFeqrSQfDV3,5,False,79,2,2019-02-23,1,0.605,0.0674,5.0,-11.0,1.0,0.0587,0.953,0.0,0.112,0.748,144.624,73000.0,4.0
2erkPJRjtYFWbBPx63bfts,6,False,1,12,2019-11-15,2,0.883,0.723,8.0,-5.464,1.0,0.0983,0.0749,4.66e-06,0.132,0.581,99.989,224187.0,4.0
2p0KdK06O9KUMCQ0gsFF0P,15,False,23,8,2019-02-14,1,0.545,0.755,8.0,-5.438,1.0,0.257,0.66,0.0,0.209,0.481,115.029,230707.0,5.0
65JtvtDVxt2SfuNb72vgLc,14,False,76,4,2019-12-20,1,0.51,0.826,8.0,-7.422,1.0,0.0404,0.0335,0.011,0.577,0.689,115.229,165984.0,4.0
3w3hIOMrLGO2sVQ51coWag,0,False,1,9,2020-02-21,1,0.491,0.353,3.0,-10.162,1.0,0.0435,0.666,0.0,0.119,0.282,164.893,179548.0,3.0
4zTIuMRUnudQiDGsIxtPKY,2,False,2,13,1971-04-12,1,0.593,0.436,5.0,-8.732,1.0,0.0258,0.131,0.0,0.102,0.51,109.361,181533.0,3.0
3pRURfm0THUY3G4YBOLtrC,44,False,13,12,2008-01-01,1,0.672,0.96,9.0,-5.346,0.0,0.0597,0.00688,1.4e-05,0.123,0.8,138.935,196093.0,4.0
1pjtZJ6hnh2ATw3lv05RpE,22,False,68,16,2013-06-14,2,0.497,0.913,5.0,-5.002,0.0,0.252,0.304,0.0,0.139,0.624,159.036,209507.0,4.0
5GokpIAufFJxKqkJgRtdKD,52,False,76,3,2016-08-05,2,0.582,0.929,9.0,-1.345,0.0,0.034,0.00067,0.36,0.0795,0.0839,102.985,258347.0,4.0
4Xtlw8oXkIOvzV7crUBKeZ,63,True,3,11,2005-01-01,1,0.696,0.858,9.0,-5.155,1.0,0.0859,0.0727,3.19e-06,0.0631,0.533,176.061,188627.0,4.0
37suW3bz5VQQjNtMdGGe8F,20,False,3,5,2015-11-27,3,0.598,0.792,11.0,-4.043,0.0,0.0478,0.121,0.0,0.158,0.732,97.479,206327.0,3.0
5FVuERsYqtKKAaWe62NBnv,57,False,76,9,2013-08-06,1,0.647,0.586,0.0,-6.883,1.0,0.0313,0.115,1.69e-06,0.121,0.165,87.994,228907.0,4.0
35KV2Nuib6jPMVN00O8iba,59,True,79,5,2018-06-01,1,0.643,0.646,10.0,-2.442,0.0,0.0629,0.0393,0.0,0.109,0.35,80.174,123040.0,4.0
2lnQcP5hr4RKR63TFvnI4k,57,False,78,9,1985-09-13,1,0.221,0.264,10.0,-17.533,1.0,0.0332,0.541,0.0,0.148,0.169,83.128,222586.0,4.0
5hwGMBQ4dL1k8ybCGuZVuu,10,False,4,13,2017-05-31,1,0.837,0.939,4.0,-3.289,1.0,0.0654,0.0296,3.38e-05,0.346,0.963,129.965,202613.0,4.0
5qNKT2i5BO0AnghHLrjbtB,1,False,8,32,2019-11-29,1,0.662,0.436,10.0,-10.926,1.0,0.0276,0.432,0.000938,0.118,0.457,99.996,260172.0,4.0
3WRb2hOE3PDgZz4gnKuapL,47,True,69,23,2017-10-31,1,0.522,0.557,5.0,-6.74,0.0,0.161,0.0315,0.0,0.0884,0.562,124.58,138797.0,5.0
2oI8siuqbpX0fONjla8tTe,10,False,76,4,1992-05-28,1,0.731,0.818,1.0,-10.368,1.0,0.0853,0.085,2.99e-05,0.0279,0.944,113.112,257960.0,4.0
6WnA9KrJ3r9YfJOmxmZRaC,35,False,79,6,1992-10-27,1,0.414,0.984,2.0,-5.259,1.0,0.0745,0.000732,0.351,0.938,0.338,95.084,216333.0,4.0
