id,popularity,explicit,availability,track_number,release_date,num_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
04zORx0Hi9RH809tG5Ut7R,4,False,2,8,1971-04-12,1,0.634,0.819,5.0,-6.786,0.0,0.048,0.359,4.98e-06,0.18,0.931,104.517,187133.0,4.0
3ciPiuilE79SH0UQzeL3xe,67,False,78,3,2020-02-21,1,0.754,0.715,0.0,-5.764,1.0,0.0578,0.357,0.0,0.133,0.675,117.979,200339.0,4.0
08sv3CfkIr3YbL3mC1Hze9,16,False,79,11,1974-10,1,0.412,0.772,1.0,-10.126,0.0,0.217,0.75,0.0,0.928,0.555,148.499,182000.0,4.0
6U4rPgbVcztrq32JCfRRuJ,54,False,78,2,2016-06-24,1,0.745,0.841,7.0,-4.05,0.0,0.0773,0.175,4.99e-06,0.269,0.804,166.058,178573.0,4.0
2KOLZ2makI3pUkfaAXAZSa,3,False,22,11,2008-01-23,1,0.703,0.737,0.0,-5.225,1.0,0.0652,0.0105,0.0,0.0925,0.565,160.094,223427.0,4.0
0GjI28EgZP9UWnkpn7WYOy,22,False,78,18,1988-09-05,1,0.694,0.677,8.0,-9.17,1.0,0.0407,0.11,0.000626,0.0334,0.927,125.397,134987.0,4.0
7xxI7hEkYGS10KenWxwfe1,35,False,79,17,2005,1,0.546,0.64,7.0,-6.174,1.0,0.116,0.0822,0.0,0.108,0.481,122.942,266227.0,4.0
0pVNCsk9rw6eKTcouRc849,5,False,15,8,2006-01-01,1,0.819,0.49,0.0,-7.074,1.0,0.0495,0.00594,0.0,0.0604,0.753,119.974,258547.0,4.0
36rEHMKGxZl34mc7BMxrTK,30,False,26,1,2011-08-08,4,0.665,0.74,8.0,-7.533,0.0,0.108,0.242,0.0306,0.153,0.549,92.75,272547.0,4.0
1yme2xpcg1FojbkTIocrEQ,0,False,13,3,2015-10-16,1,0.633,0.69,7.0,-6.492,0.0,0.0691,0.212,0.0,0.26,0.593,77.069,204188.0,4.0
4nns8olVMNsn3R6Jwbnmdc,6,False,79,7,2017-12-08,1,0.528,0.163,11.0,-16.215,1.0,0.0458,0.433,0.161,0.109,0.128,127.793,152762.0,4.0
6yLN8lnouEqwqGXWnhG3Sh,1,False,1,14,2009-01-01,1,0.487,0.368,5.0,-10.806,0.0,0.0417,0.00431,0.872,0.706,0.517,59.99,64200.0,4.0
3cUjzpF5qD1M3jXx01GrSU,41,False,13,1,2008-11-24,1,0.473,0.91,9.0,-7.06,1.0,0.0391,0.00159,5.29e-05,0.248,0.293,131.052,245100.0,4.0
5Giq7ViIXKkTtxOhzPY2Qf,56,False,79,4,2012-06-22,1,0.68,0.911,9.0,-3.864,0.0,0.0345,0.0135,0.0,0.159,0.943,126.944,221333.0,4.0
6d3l3Up8bqoWMlDGuPuECL,14,False,78,6,2000-09-25,1,0.587,0.584,4.0,-9.595,0.0,0.034,0.0441,3.03e-05,0.224,0.298,111.951,285333.0,4.0
2cdq48WwEieh4IbtcdDSKO,0,False,1,19,2019-06-05,5,0.425,0.437,4.0,-13.91,1.0,0.0488,0.613,0.0,0.624,0.822,89.833,143413.0,4.0
3ORwo6sqsEbUoP3RN79nhe,58,False,79,1,2016-02-12,1,0.368,0.274,1.0,-14.878,1.0,0.0413,0.956,0.0112,0.0658,0.0459,84.549,270000.0,4.0
675FMGUfU8qCqatodoQSaf,0,False,1,21,2020-02-24,2,0.78,0.655,0.0,-8.123,0.0,0.0418,0.0621,0.000827,0.131,0.157,117.979,213920.0,4.0
09VVVW2VxsmXE5Pyo3T0ah,14,False,1,4,2016-11-18,1,0.323,0.281,9.0,-7.829,1.0,0.0316,0.189,1.14e-05,0.134,0.313,120.425,123573.0,4.0
1rRua6LwYVCzG9D5JtxPck,1,False,67,14,2002-01-26,3,0.77,0.526,2.0,-9.467,1.0,0.06,0.82,0.0,0.13,0.922,140.018,153267.0,4.0
62i4rf8deKrMpmYuCAiWG1,7,False,76,7,2010-01-01,1,0.797,0.132,7.0,-17.289,0.0,0.0701,0.973,0.00162,0.119,0.603,124.3,136880.0,4.0
1IdIYszFeuwsdJhUePyzyI,32,False,79,1,2019-11-28,2,0.505,0.878,2.0,-5.868,1.0,0.0359,0.17,0.0092,0.216,0.585,162.031,136080.0,4.0
