id,popularity,explicit,availability,track_number,release_date,num_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
7ehe89RVP9WVlT9wYp0Bo6,1,False,14,5,2011-05-16,1,0.517,0.811,6.0,-4.829,1.0,0.38,0.132,0.0,0.341,0.667,94.81,243653.0,5.0
5nbUjnaYusJFlACmEVU0KJ,0,False,0,1,2019-10-25,2,0.732,0.612,9.0,-4.628,0.0,0.0275,0.0244,0.0,0.0924,0.763,116.97,191147.0,4.0
200f30RDLgsb9bKvlRp9rC,27,False,79,10,2019-11-22,3,0.34,0.404,10.0,-9.915,1.0,0.0284,0.308,0.0,0.317,0.228,72.097,159347.0,4.0
3PHAN9g1qziYB16D7Vs91A,22,False,1,3,2016-08-10,3,0.572,0.63,1.0,-7.241,1.0,0.0462,0.0559,0.0,0.062,0.362,128.056,217027.0,4.0
3Ol2PZGNSNIBevBwfbEBZs,11,False,73,25,2020-01-24,3,0.648,0.808,11.0,-4.104,1.0,0.219,0.0515,0.0,0.166,0.854,179.993,249813.0,4.0
4OiVXwnSsi7OMPn8lY0vBc,1,True,1,8,2019-12-23,1,0.377,0.446,0.0,-7.402,1.0,0.0339,0.354,0.0,0.103,0.251,82.937,225895.0,4.0
0lkVqyxGNdXaD97Xdxttjz,7,False,8,34,2019-11-29,1,0.35,0.403,0.0,-9.57,1.0,0.0279,0.786,0.0,0.114,0.201,104.957,222160.0,3.0
49K3jbwZmZKaDGTfjpIVg0,59,True,79,9,2017-12-08,5,0.911,0.637,1.0,-7.252,1.0,0.112,0.0259,0.0,0.104,0.615,133.037,317701.0,4.0
1sLzdIOOLtAQbTwVJSHk26,3,False,5,15,2000-03-21,1,0.622,0.493,0.0,-8.278,1.0,0.0253,0.396,0.0,0.0998,0.118,134.73,276867.0,4.0
3nh7rXiqu0fhcyZhZf9OQj,14,False,76,14,2014-05-27,1,0.562,0.803,8.0,-4.979,1.0,0.189,0.712,0.0,0.959,0.66,130.48,339320.0,4.0
