id,popularity,explicit,availability,track_number,release_date,num_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2ZkeWyoWKTzZUR5f0q1U2Q,31,False,79,2,2013-05-27,1,0.805,0.322,2,-11.054,0,0.0875,0.0889,0.487,0.0403,0.374,129.997,210840,4
42GkJhSXzp5XfETsHasskn,34,False,78,1,2017-04-28,1,0.688,0.298,8,-9.179,0,0.0275,0.0159,0.00569,0.125,0.0669,110.045,233510,4
08ahLC8obCMMroTU3DH8wW,34,False,67,2,2014-05-05,1,0.486,0.705,10,-7.361,0,0.522,0.294,0.0,0.142,0.682,95.773,154509,4
3cDdNiSpGwgLosEwufaiTK,39,False,79,3,2017-01-13,1,0.793,0.31,5,-5.256,1,0.052,0.0505,0.0875,0.0617,0.25,75.989,267046,4
1UjtgkSgP7ptxSHG4kzc0G,44,False,79,11,2014-04-07,1,0.603,0.498,2,-9.121,0,0.0355,0.844,0.0592,0.135,0.488,160.064,209827,3
5xl0p7WkEry8QAOxTs28kY,51,False,79,2,2019-09-27,2,0.728,0.544,9,-7.848,0,0.0505,0.35,0.594,0.179,0.246,101.029,217987,4
3M2N3eRZbgFHXXJeCJ63ZS,25,False,79,1,2019-09-27,1,0.638,0.485,10,-10.814,0,0.0484,0.466,0.849,0.118,0.0422,101.003,261453,4
6uHnEgzqlfiSHJwNajOcVj,53,False,78,2,2019-03-01,1,0.687,0.523,2,-8.01,1,0.036,0.00252,8.79e-05,0.108,0.454,95.997,211653,4
1jXRr5iln16y27EM85HMJ3,43,False,77,2,2018-02-09,1,0.422,0.548,2,-7.938,1,0.126,0.0319,0.0623,0.0989,0.202,155.97,302235,4
7MXVkk9YMctZqd1Srtv4MB,85,True,79,1,2016-11-25,2,0.678,0.588,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.005,230453,4
4rrrn8OLrttq7r9RgNXalU,56,False,77,2,2012-01-01,4,0.194,0.0545,4,-24.877,1,0.0366,0.983,0.945,0.0551,0.0385,140.966,644273,4
0NS7DFpw5PfCESUJiNRe0n,35,False,79,1,2019-03-15,1,0.681,0.371,2,-9.757,0,0.272,0.713,4.51e-05,0.173,0.137,154.055,147273,3
5klsN513aq5UOsG2Z4bGXa,41,False,72,1,2019-07-19,1,0.761,0.329,11,-12.998,0,0.0909,0.803,0.0,0.0869,0.203,119.949,283596,4
1bw1Er9BDqrXu07PC776fM,18,False,73,6,2020-03-04,3,0.238,0.175,7,-15.894,1,0.0375,0.959,0.925,0.126,0.102,72.055,253980,4
2xizRhme7pYeITbH1NLLGt,63,False,78,10,1976,3,0.109,0.167,4,-18.669,0,0.0382,0.91,0.92,0.109,0.0692,86.554,166867,4
1M5kjPtGCBKx8fTuakNOUG,37,False,18,2,2018-11-16,2,0.51,0.82,10,-3.899,0,0.244,0.097,0.0949,0.373,0.248,105.223,168000,4
1yO91Oyey81Sjp5kb9O1dw,38,False,79,1,2019-06-21,1,0.739,0.719,9,-7.189,0,0.0456,0.225,2.71e-06,0.101,0.51,119.975,223853,4
6zrsezxZAmVnj4eVABRp9P,51,False,78,4,2018-03-30,1,0.67,0.395,8,-16.417,0,0.076,0.78,0.653,0.0935,0.163,109.932,209827,4
3lgoGEEfJNcRBBPKjFFPl8,49,False,79,1,2017-03-24,2,0.393,0.412,9,-11.827,0,0.0819,0.859,0.367,0.105,0.0362,101.966,354393,4
1gcbDj7nfYolTr09LklGlr,56,False,79,5,2017-06-30,1,0.781,0.426,1,-9.541,1,0.0322,0.592,0.571,0.109,0.237,104.981,223584,4
0pAiyIHt9DyHOjWgF41kp6,64,False,78,4,2015-06-01,2,0.729,0.456,6,-6.795,0,0.0528,0.62,0.000133,0.0919,0.221,110.999,219946,4
3wEYsKTvfWeCTa339clXBh,32,False,79,10,2017-01-13,1,0.444,0.525,7,-10.226,0,0.101,0.123,0.125,0.0906,0.0347,116.011,250408,4
0Uy2DEV9vQRFrCg4CLY6wY,53,False,77,12,2017-09-15,1,0.709,0.556,7,-8.911,1,0.0847,0.36,0.000204,0.109,0.232,112.04,222413,4
41KSjv0pSUBipBh9jOOGuO,58,False,79,1,2020-02-04,1,0.699,0.684,7,-10.627,1,0.0485,0.134,0.202,0.0559,0.336,110.011,234453,4
320ePMZ8X0ugeffZk0wNzY,59,False,79,8,2018-04-13,1,0.656,0.508,5,-12.805,0,0.0372,0.605,0.902,0.0787,0.103,113.002,304162,4
0TruFm40GWUA1PZovIGkYw,47,False,79,6,2019-04-12,2,0.723,0.554,7,-8.687,1,0.0518,0.19,0.000251,0.129,0.541,155.93,223183,4
6SOC0NxTEcIdCx9SAArc2Z,32,False,79,1,2019-05-03,1,0.756,0.557,3,-8.13,1,0.325,0.589,0.00233,0.17,0.346,102.079,161841,4
62dHSlq2JM8VD15EHkk5MM,50,False,79,2,2018-11-22,1,0.695,0.759,5,-6.719,0,0.0346,0.00856,0.744,0.092,0.591,109.983,247955,4
5JCUYNmvw0uBYEr4PHASiw,49,False,76,8,2019-02-15,1,0.737,0.351,1,-13.31,0,0.031,0.765,0.0199,0.113,0.304,112.989,232680,4
5bOBc05OJjuCusiPiq90Cm,37,False,1,8,2019-01-18,1,0.68,0.856,10,-6.782,0,0.359,0.774,0.00224,0.332,0.745,74.969,252107,4
2YG3fktEoHQAUlXP9VtmRN,54,False,79,4,2019-04-05,2,0.583,0.48,0,-13.496,0,0.0499,0.515,0.882,0.089,0.0389,109.999,217581,4
1ObT98WfVsnJoL5qC4oL2R,54,False,75,2,2019-03-01,1,0.528,0.619,5,-8.444,0,0.0295,0.103,0.0951,0.623,0.759,151.997,219474,4
6Dk1Ehr4xfkokNRNMV3DSU,28,False,76,3,2015-06-23,1,0.504,0.687,9,-7.367,0,0.179,0.188,0.000122,0.0979,0.605,163.904,200827,4
5Ye9WqscOKU4iI2oIHeFbc,44,False,79,3,2017-03-10,1,0.567,0.77,7,-5.844,1,0.0267,0.00118,0.0046,0.105,0.352,149.973,227243,4
636ieo1frTLl9XvQwalG1o,49,False,79,1,2019-10-03,1,0.795,0.645,1,-11.672,1,0.0675,0.152,0.831,0.108,0.149,120.009,309847,4
5tsI9E9OhvxpV5Y2f7vfmI,33,False,79,8,2015-11-27,1,0.587,0.517,4,-13.042,0,0.0436,0.393,0.852,0.314,0.119,160.07,183947,4
74Dn2KLL8i6sAJoQh6hIRJ,43,False,78,2,2019-01-18,1,0.615,0.753,1,-8.986,0,0.0363,0.126,0.872,0.166,0.281,92.989,355994,4
6ZrauffaDWD1kaN4Z6pFVh,52,False,79,7,2015-11-27,1,0.65,0.592,11,-13.719,0,0.0368,0.589,0.801,0.229,0.119,114.011,272840,4
4swXXrbnCYOK9gGCRdhxq5,36,False,78,3,2019-01-18,2,0.632,0.635,0,-8.93,0,0.0303,0.237,0.728,0.101,0.446,146.978,231630,4
5hRnZ9OwUqMnSZTdT0YyFq,34,False,79,5,2019-06-06,1,0.588,0.511,6,-9.287,1,0.0527,0.742,0.845,0.109,0.038,108.148,381920,4
2NUOINK46uEmMf7mw3H3ZO,39,False,79,1,2020-01-31,2,0.136,0.259,2,-17.325,0,0.035,0.789,0.888,0.0868,0.037,68.116,380000,4
